 Cement(kg/m3), Water(kg/m3),Coarse aggregate(kg/m3),Fine aggregate(kg/m3), FA (kg/m3),SF (kg/m3),GGBFS (kg/m3),SP (kg/m3),Elastic modulus (GPa)
260.0,152.0,1097.0,731.2,80.0,0.0,60.0,0.0,45.77
240.0,152.0,1097.0,731.2,80.0,0.0,80.0,0.0,51.09
248.0,210.12,812.0,853.0,248.0,0.0,0.0,5.0,28.69
248.0,226.24,806.0,853.0,248.0,0.0,0.0,5.0,27.89
248.0,210.12,812.0,853.0,124.0,0.0,124.0,5.0,31.71
248.0,226.24,806.0,853.0,124.0,0.0,124.0,5.0,30.83
124.0,210.12,812.0,853.0,186.0,0.0,186.0,5.0,31.27
124.0,226.24,806.0,853.0,186.0,0.0,186.0,5.0,30.25
124.0,210.12,812.0,853.0,159.0,53.0,159.0,5.0,32.35
124.0,226.24,806.0,853.0,159.0,53.0,159.0,5.0,31.8
271.0,208.36,739.0,819.0,135.5,0.0,135.5,8.13,31.01
135.5,208.36,739.0,819.0,162.6,81.3,162.6,8.13,32.31
138.0,191.4,1107.0,660.0,92.0,46.0,184.0,1.84,31.8
138.0,195.6,1071.0,660.0,92.0,46.0,184.0,1.84,28.5
138.0,200.7,1048.0,660.0,92.0,46.0,184.0,1.84,29.0
138.0,199.4,990.0,660.0,92.0,46.0,184.0,1.84,25.5
138.0,208.2,990.0,660.0,92.0,46.0,184.0,1.84,25.0
138.0,205.3,1007.0,635.0,92.0,46.0,184.0,1.84,22.0
138.0,209.5,1023.0,612.0,92.0,46.0,184.0,1.84,22.5
453.4,201.5,861.5,760.8,50.4,0.0,0.0,2.8,31.76
400.7,200.4,856.5,756.4,100.2,0.0,0.0,2.8,30.67
297.1,198.1,846.9,747.8,198.1,0.0,0.0,2.8,29.8
246.2,197.0,842.1,743.6,246.2,0.0,0.0,2.7,29.38
411.9,274.6,782.7,691.1,45.8,0.0,0.0,0.0,25.23
364.2,273.2,778.6,687.5,91.1,0.0,0.0,0.0,23.86
270.4,270.4,770.5,680.4,180.2,0.0,0.0,0.0,24.45
224.1,269.0,766.6,676.9,224.1,0.0,0.0,0.0,19.99
330.0,173.46,1198.0,798.0,83.0,0.0,0.0,1.45,37.1
289.0,173.46,1185.0,790.0,124.0,0.0,0.0,1.45,36.6
248.0,173.46,1172.0,781.0,165.0,0.0,0.0,1.45,34.4
356.0,186.9,1338.0,653.0,89.0,0.0,0.0,1.11,36.4
312.0,186.9,1322.0,645.0,133.0,0.0,0.0,1.11,35.5
267.0,186.9,1307.0,637.0,178.0,0.0,0.0,1.11,33.75
384.85,151.35,1144.6,706.5,0.0,47.57,0.0,5.19,42.0
371.88,151.35,1152.31,711.22,0.0,0.0,60.54,4.76,40.0
459.0,178.5,915.0,865.0,0.0,51.0,0.0,4.5,31.2
357.0,178.5,915.0,865.0,0.0,0.0,153.0,4.5,29.8
408.0,178.5,915.0,865.0,102.0,0.0,0.0,4.5,29.0
271.0,205.13,787.0,834.0,108.4,54.2,108.4,8.13,38.6
360.0,180.0,868.0,941.0,40.0,0.0,0.0,0.0,25.0
320.0,180.0,865.0,937.0,80.0,0.0,0.0,0.0,24.0
280.0,180.0,852.0,933.0,120.0,0.0,0.0,0.0,23.4
380.0,180.0,869.0,941.0,0.0,20.0,0.0,0.0,28.8
360.0,180.0,865.0,937.0,0.0,40.0,0.0,0.0,30.0
340.0,180.0,863.0,935.0,40.0,20.0,0.0,0.0,28.3
280.0,180.0,861.0,932.0,80.0,20.0,0.0,0.0,27.0
260.0,180.0,858.0,930.0,120.0,20.0,0.0,0.0,26.4
340.0,156.0,1799.0,1346.0,60.0,0.0,0.0,2.4,39.0
300.0,156.0,1779.0,1300.0,100.0,0.0,0.0,2.4,37.0
260.0,156.0,1763.0,1255.0,140.0,0.0,0.0,2.0,36.0
240.0,156.0,1816.0,1386.0,0.0,0.0,160.0,1.6,38.0
200.0,156.0,1812.0,1379.0,0.0,0.0,200.0,2.0,38.0
160.0,156.0,1809.0,1372.0,0.0,0.0,240.0,2.0,38.0
324.0,162.0,1027.0,750.0,81.0,0.0,0.0,0.0,26.3
291.0,155.0,1044.0,762.0,97.0,0.0,0.0,0.0,25.5
368.0,155.0,1057.0,772.0,0.0,19.0,0.0,0.0,30.2
194.0,155.0,1041.0,760.0,97.0,0.0,97.0,0.0,26.8
155.0,155.0,1037.0,757.0,116.0,0.0,116.0,0.0,22.9
194.0,155.0,1054.0,769.0,0.0,0.0,194.0,0.0,24.2
116.0,155.0,1048.0,765.0,0.0,19.0,252.0,0.0,21.7
342.0,155.0,1078.0,667.0,114.0,0.0,0.0,0.0,27.1
433.0,155.0,1094.0,677.0,0.0,23.0,0.0,0.0,33.4
228.0,155.0,1073.0,664.0,114.0,0.0,114.0,0.0,31.0
182.0,155.0,1069.0,661.0,137.0,0.0,137.0,0.0,24.1
228.0,155.0,1090.0,674.0,0.0,0.0,228.0,0.0,25.8
137.0,155.0,1083.0,670.0,0.0,13.0,296.0,0.0,21.7
388.0,155.0,1016.0,628.0,138.0,28.0,0.0,0.0,30.2
526.0,155.0,1041.0,644.0,0.0,28.0,0.0,0.0,35.9
277.0,155.0,1016.0,628.0,111.0,28.0,138.0,0.0,34.6
221.0,155.0,1009.0,624.0,138.0,28.0,166.0,0.0,24.6
277.0,155.0,1031.0,638.0,0.0,28.0,249.0,0.0,30.8
137.0,155.0,1083.0,670.0,0.0,28.0,296.0,0.0,30.7
350.0,190.0,876.0,830.0,150.0,0.0,0.0,9.1,16.0
300.0,200.0,860.0,845.0,200.0,0.0,0.0,9.0,13.0
250.0,210.0,856.0,856.0,250.0,0.0,0.0,8.6,8.5
323.1,158.0,1110.39,796.0,0.0,35.9,0.0,0.0,26.5
305.15,158.0,1110.39,796.0,0.0,53.85,0.0,0.0,28.9
287.2,158.0,1110.39,796.0,0.0,71.8,0.0,0.0,27.0
406.0,189.0,784.4,987.1,0.0,22.0,22.0,1.57,34.78
406.0,189.0,655.7,987.1,0.0,22.0,22.0,1.57,30.13
360.0,189.0,780.2,982.4,0.0,45.0,45.0,1.8,37.4
360.0,189.0,652.7,982.4,0.0,45.0,45.0,1.8,32.28
315.0,189.0,779.2,981.2,0.0,45.0,90.0,1.8,38.27
315.0,189.0,651.7,981.2,0.0,45.0,90.0,1.8,33.2
