 Cement(kg/m3), Water(kg/m3),Coarse aggregate(kg/m3),Fine aggregate(kg/m3), FA (kg/m3),SF (kg/m3),GGBFS (kg/m3),SP (kg/m3),Cylinder compressive strength (MPa),Splitting tensile strength (MPa),Flexural strength (MPa),Elastic modulus (GPa),Chloride permeability (Coulomb) 28d,Chloride permeability (Coulomb) 90d,Chloride permeability (Coulomb) 180d,Drying shrinkage (??) 7d,Drying shrinkage (??) 28d,Drying shrinkage (??) 90d,Drying shrinkage (??)120d,Creep (??) 28d,Creep (??) 90d,Creep (??) 150d,Abrasion (mm) 28 d
130.0,206.7,849.4,785.0,195.0,0.0,195.0,4.68,16.71,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
130.0,206.7,849.4,785.0,156.0,78.0,156.0,6.8,30.21,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
260.0,214.9,832.0,785.0,260.0,0.0,0.0,4.78,17.85,1.57,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,396.0,480.0,496.0,-1.0,-1.0,-1.0,-1.0
260.0,214.9,832.0,785.0,130.0,0.0,130.0,5.67,32.62,2.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,400.0,471.0,478.0,-1.0,-1.0,-1.0,-1.0
260.0,214.9,832.0,785.0,104.0,52.0,104.0,6.86,42.02,3.66,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,425.0,522.0,523.0,-1.0,-1.0,-1.0,-1.0
130.0,214.9,832.0,785.0,390.0,0.0,0.0,7.4,11.59,0.96,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,405.0,500.0,500.0,-1.0,-1.0,-1.0,-1.0
130.0,214.9,832.0,785.0,195.0,0.0,195.0,7.28,26.21,1.67,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,407.0,507.0,507.0,-1.0,-1.0,-1.0,-1.0
130.0,214.9,832.0,785.0,156.0,78.0,156.0,7.57,36.34,2.89,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,440.0,550.0,551.0,-1.0,-1.0,-1.0,-1.0
290.0,163.0,1048.0,670.0,72.5,0.0,0.0,0.0,37.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
290.0,163.0,1048.0,670.0,72.5,0.0,0.0,0.0,36.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
290.0,163.0,1048.0,670.0,72.5,0.0,0.0,0.0,27.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
290.0,163.0,1048.0,670.0,72.5,0.0,0.0,0.0,28.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
290.0,163.0,1048.0,670.0,72.5,0.0,0.0,0.0,37.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
