 Cement(kg/m3), Water(kg/m3),Coarse aggregate(kg/m3),Fine aggregate(kg/m3), FA (kg/m3),SF (kg/m3),GGBFS (kg/m3),SP (kg/m3),Cylinder compressive strength (MPa),Splitting tensile strength (MPa),Flexural strength (MPa),Elastic modulus (GPa),Chloride permeability (Coulomb) 28d,Chloride permeability (Coulomb) 90d,Chloride permeability (Coulomb) 180d,Drying shrinkage (??) 7d,Drying shrinkage (??) 28d,Drying shrinkage (??) 90d,Drying shrinkage (??)120d,Creep (??) 28d,Creep (??) 90d,Creep (??) 150d,Abrasion (mm) 28 d
253.75,163,1048,670,108.75,0,0,0,34.5,3.46725,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
253.75,163,1048,670,108.75,0,0,0,35.4,3.4338,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
253.75,163,1048,670,108.75,0,0,0,44.5,3.58225,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
253.75,163,1048,670,108.75,0,0,0,40,3.64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
253.75,163,1048,670,108.75,0,0,0,38,3.8038,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
235.62,163,1048,670,0,0,126.88,0,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
235.62,163,1048,670,0,0,126.88,0,38.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
235.62,163,1048,670,0,0,126.88,0,44.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
235.62,163,1048,670,0,0,126.88,0,39.5,3.91,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
253.75,163,1048,670,90.62,18.12,0,0,40.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
253.75,163,1048,670,90.62,18.12,0,0,31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
253.75,163,1048,670,90.62,18.12,0,0,37,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
253.75,163,1048,670,90.62,18.12,0,0,35,3.53,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
368.53,260.14,810,795,50.77,0,0,0,23.72,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
325.18,260.14,810,795,84.62,0,0,0,18.02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
281.82,260.14,810,795,118.46,0,0,0,15.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
411.89,260.14,810,795,0,16.08,0,0,34.77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
390.21,260.14,810,795,0,32.17,0,0,36.81,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
368.53,260.14,810,795,0,48.25,0,0,39.78,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
436.5,200,778,880,0,18,0,6.7,53.7,-1,-1,-1,5183,1403,-1,-1,-1,-1,-1,-1,-1,-1,-1
418.5,200,774,875,0,36,0,7.5,64,-1,-1,-1,966,685,-1,-1,-1,-1,-1,-1,-1,-1,-1
400,200,771,870,0,54.5,0,8,64,-1,-1,-1,560,408,-1,-1,-1,-1,-1,-1,-1,-1,-1
337,200,774,874,0,36,81.5,6.7,66.5,-1,-1,-1,614,529,-1,-1,-1,-1,-1,-1,-1,-1,-1
373,200,778,878,81.5,0,0,5.82,50.1,-1,-1,-1,3810,1386,-1,-1,-1,-1,-1,-1,-1,-1,-1
291,200,773,872,163.5,0,0,6.35,56.5,-1,-1,-1,3240,2286,-1,-1,-1,-1,-1,-1,-1,-1,-1
209.5,200,772,871,163.5,0,81.5,5.5,50,-1,-1,-1,1326,942,-1,-1,-1,-1,-1,-1,-1,-1,-1
373,200,772,872,81.5,0,0,4.67,41,-1,-1,-1,4901,1171,-1,-1,-1,-1,-1,-1,-1,-1,-1
291,200,762,859,163.5,0,0,4.36,37.6,-1,-1,-1,4159,624,-1,-1,-1,-1,-1,-1,-1,-1,-1
209.5,200,761,858,163.5,0,81.5,4.31,35.8,-1,-1,-1,4204,660,-1,-1,-1,-1,-1,-1,-1,-1,-1
373,200,781,881,0,0,81.5,5.35,54.6,-1,-1,-1,2520,1834,-1,-1,-1,-1,-1,-1,-1,-1,-1
255.5,200,769,868,81.5,36,81.5,7,56.8,-1,-1,-1,511,359,-1,-1,-1,-1,-1,-1,-1,-1,-1
228,182,1100,770,0,0,228,0,43,3.88,-1,23.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
228,182,1100,770,0,23,228,1.82,46,4.5,-1,26.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
228,182,1100,770,0,46,182,2.58,49.5,4.45,-1,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
228,182,1100,770,0,68,159,2.8,58,4.9,-1,26.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
674.4,187.4,1058.8,453.3,75,0,0,3.4,64,-1,-1,-1,900,-1,-1,397,470,-1,580,-1,-1,-1,-1
594.4,185.8,1049.4,449.3,148.6,0,0,3,65,-1,-1,-1,886,-1,-1,376,460,-1,550,-1,-1,-1,-1
