 Cement(kg/m3), Water(kg/m3),Coarse aggregate(kg/m3),Fine aggregate(kg/m3), FA (kg/m3),SF (kg/m3),GGBFS (kg/m3),SP (kg/m3),Cylinder compressive strength (MPa),Splitting tensile strength (MPa),Flexural strength (MPa),Elastic modulus (GPa),Chloride permeability (Coulomb) 28d,Chloride permeability (Coulomb) 90d,Chloride permeability (Coulomb) 180d,Drying shrinkage (??) 7d,Drying shrinkage (??) 28d,Drying shrinkage (??) 90d,Drying shrinkage (??)120d,Creep (??) 28d,Creep (??) 90d,Creep (??) 150d,Abrasion (mm) 28 d
350,180,937,790,150,0,0,1,45.31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
375,180,876,860,100,25,0,1,55.42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
400,180,1090,660,50,50,0,1,54.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
425,180,999,710,0,75,0,1.25,55.51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
450,200,846,830,50,0,0,0.75,42.59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
475,200,937,780,0,25,0,0.75,45.47,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
300,200,988,710,150,50,0,0.75,40.46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
325,200,1050,630,100,75,0,1,40.89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
155,194,880,699,143,0,184,9,28.99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
151.8,167.5,944,694.6,138.7,0,178.1,18.3,36.35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
167,185,898,636,195,0,187,7,23.89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
132,179,867,736,161,0,207,5,33.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
255,189,919,749,77,0,99,6,33.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
178,179.9,1007.3,746.8,118.6,0,129.8,3.6,39.16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
167,164,1007.3,770.1,167,0,75.4,7.9,41.41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
149,183,953,780,92,0,118,7,23.52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
309.9,167.8,913.9,651.2,111.2,0,142.8,22.1,38.22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
237,247,853,695,71,0,92,6,28.63,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
252,194,835,821,76,0,97,8,33.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
397,167,967,633,158,0,17.2,20.8,55.65,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
158.6,175.1,953.3,719.7,116,0,148.9,15,27.68,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
160,182,824,879,122,0,128,6.4,39.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
387,157,938,845,94,0,20,13.9,46.68,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
162,202,820,680,164,0,214,10,30.65,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
262,195,895,733,86,0,111,5,33.72,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
218.2,140.8,1075.7,792.7,123.8,0,54.6,11.9,55.51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
387,157,938,845,94,0,20,11.6,46.68,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
160,203,829,710,146,0,188,11,32.84,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
252.1,193.8,835.5,821.4,75.6,0,97.1,8.3,33.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
446,162,967,712,79,0,24,11.6,44.42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
446,162,967,712,79,0,24,11.6,57.03,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
276,180,870,768,90,0,116,9,44.28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
359,154,942,801,141,0,19,10.9,59.49,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
159,201,848,669,161,0,209,7,30.88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
136.4,171.6,922.6,764.4,125.8,0,161.6,10.4,29.07,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
184,213,923,623,190,0,86,6,22.93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
136,199,847,783,98,0,196,6,26.97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
144,192,814,805,133,0,170,8,29.87,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
149,192,935,623,194,0,153,8,24.58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
213.8,181.7,1066,785.5,24.5,0,98.1,6.7,40.23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
259.9,170.6,935.7,762.9,78.4,0,100.6,10.4,49.77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
236.9,246.9,852.9,695.4,71.5,0,91.7,6,28.63,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
162,178.8,838.1,741.4,148.1,0,190.1,18.8,33.76,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
277,190.6,946.5,665.6,91,0,116.8,7,43.58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
143,191,967,643,143,0,169,8,29.72,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
153,178,867,824,113,0,145,8,26.23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
491,210,882,699,123,0,26,3.9,55.55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
143.7,191.6,814.1,805.3,132.6,0,170.2,8.5,29.87,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
298,201,878,655,107,0,137,6,53.52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
173.8,172.3,1007.2,746.6,159.9,0,93.4,9.7,37.81,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
136,172,923,764,126,0,162,10,29.07,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
149,193,892,780,109,0,139,6,23.69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
172.4,156.8,1006.3,856.4,172.4,0,13.6,4.1,33.69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
266,178,910,745,87,0,112,10,39.42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
297.8,201.3,878.4,655.3,106.9,0,137.2,6,53.52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
168,121.8,1058.7,780.1,163.8,0,42.1,5.7,24.24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
446,162,967,712,79,0,24,10.3,53.39,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
277,191,946,666,91,0,117,7,43.57,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
155.2,193.8,879.6,698.5,143.2,0,183.9,9.2,28.99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
334,189,967,633,158,0,17.6,15.3,44.33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
261.9,195.4,895.2,732.6,86.1,0,110.5,5,33.72,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
264.5,195.5,832.6,790.4,86.5,0,111,5.9,41.54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
162,216,822,638,172,0,207,10,39.84,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
275,162,830,765,120,0,180,10.4,76.24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
280,172,825,805,100,0,129,9,52.82,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
310,168,914,651,111,0,143,22,33.69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
446,162,967,712,79,0,24,11.6,51.02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
261,201,864,761,78,0,100,9,32.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
145,184,833,880,119,0,116,5.7,29.16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
424,168,822,750,132,0,22,8.9,72.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
284,179,842,801,141,0,15,5.5,43.73,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
260,171,936,763,78,0,101,10,49.77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
153.1,178.5,1001.9,688.7,113,0,145,8,25.56,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
144,178,941,774,106,0,136,7,26.14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
355,145,967,871,97,0,19,13.1,44.03,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
157,200,819,704,152,0,214,9,33.05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
260.9,200.6,864.5,761.5,78.3,0,100.5,8.6,32.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
149,182.9,953.4,780.3,91.7,0,117.6,7.1,23.52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
255.3,188.6,919,749.3,77,0,98.8,6.5,33.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
266.2,177.9,909.7,744.5,87.5,0,112.3,10.4,39.42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
152,168,944,695,139,0,178,18,36.35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
160.2,203.2,828.7,709.7,146.4,0,188,11.3,35.31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
156,221,854,614,187,0,178,7,29.41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
143.8,178.1,941.5,774.3,106.2,0,136.3,7.5,26.15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
139.9,200.3,916,753.4,103.3,0,132.6,7.4,36.44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
287.3,187.6,904.4,695.9,93.9,0,120.5,9.2,43.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
214.9,155.6,1014.3,780.6,121.9,0,53.8,9.6,52.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
140,237,869,656,128,0,164,6,35.23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
333,167,996,652,163,0,17.5,17.9,47.28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
135,196,965,643,193,0,105,6,21.91,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
146.5,201.9,860,829.5,89.3,0,114.6,8.8,19.99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
168.9,158.3,1080.8,796.2,124.3,0,42.2,10.8,31.12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
314,178.9,869.1,690.2,113.2,0,145.3,8,46.23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
173.5,164.8,1006.2,793.5,173.5,0,50.1,6.5,38.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
148.5,192.7,892.4,780,108.6,0,139.4,6.1,23.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
272.8,209.7,904,679.7,81.8,0,105.1,9,37.17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
165,175.1,1005.8,746.6,132.1,0,128.5,8.1,46.39,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
182,170.2,1059.4,780.7,122,0,45.2,8.2,31.27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
154,228,845,612,185,0,174,7,24.34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
250,159,860,800,95,0,180,9.5,67.87,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
139.7,236.7,868.6,655.6,127.7,0,163.9,5.8,35.23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
132,178.9,866.9,735.6,160.9,0,206.5,5.5,33.31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
162,179,838,741,148,0,190,19,33.76,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
153,178,1002,689,113,0,145,8,25.56,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
273,210,904,680,82,0,105,9,37.17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
279.8,172.4,825.1,804.9,100.4,0,128.9,9.5,52.83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
265,195,833,790,86,0,111,6,41.54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
141.9,173.5,882.6,785.3,129.7,0,166.6,10.9,44.61,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
491,201,822,699,123,0,26,3.9,57.92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
314,179,869,690,113,0,145,8,46.23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
424,178,822,750,132,0,22,8.5,62.05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
159,175,953,720,116,0,149,15,27.68,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
144,176,1021,709,195,0,15,6,15.34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
355,145,967,871,97,0,19,12.3,55.45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
153.6,220.1,923.2,657.9,112.3,0,144.2,10.1,16.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
143,190.7,967.4,643.5,142.7,0,169.4,8.4,29.73,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
142,174,883,785,130,0,167,11,44.61,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
277.2,160.7,1061.7,782.5,24.5,0,97.8,11.2,63.14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
287,188,904,696,94,0,121,9,41.94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
202,206,942,801,141,0,11,1.7,21.97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
154,220,923,658,112,0,144,10,16.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
164,197,961,641,128,0,163,8,27.23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
167.4,175.5,1006.3,746.6,128.6,0,129.9,7.8,41.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
387,157,938,845,94,0,20,14.3,50.24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
213.7,181.7,1065.8,785.4,24.5,0,98.1,6.9,45.71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
359,154,942,801,141,0,19,10.9,62.94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
153.1,178.5,867.2,824,113,0,145,8,26.23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
140,200,916,753,103,0,133,7,36.44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
147,202,860,829,89,0,115,9,19.99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
276.4,179.6,870.1,768.3,90.3,0,116,8.9,44.28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
522.5,172.36,722,970,0,27.5,0,8.25,49.49,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
440,181.5,722,970,82.5,27.5,0,3.3,47.26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
385,181.5,722,970,137.5,27.5,0,1.65,45.65,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
330,181.5,722,970,192.5,27.5,0,1.21,38.34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
450,191,590,1063,50,0,0,2.1,39.95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
400,191,584,1052,100,0,0,2,38.34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
350,191,578,1040,150,0,0,1.9,36.29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
300,191,571,1029,200,0,0,1.83,30.26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
250,191,565,1017,250,0,0,1.25,27.62,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
450,191,595,1072,0,0,50,2.25,38.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
400,191,594,1069,0,0,100,2.1,38.335,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
350,191,592,1066,0,0,150,2,38.505,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
300,191,590,1063,0,0,200,1.95,33.745,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
250,191,580,1069,0,0,250,1.9,32.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
540,235.6,720,780,80,0,0,3.03,51.85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
496,235.6,720,780,124,0,0,4,46.22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
434,235.6,720,780,186,0,0,4,44.71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
372,235.6,720,780,248,0,0,3.77,38.04,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
310,235.6,720,780,310,0,0,3.35,32.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
465,235.6,720,780,155,0,0,2.77,50.13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
434,235.6,720,780,155,31,0,2.73,55.11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
403,235.6,720,780,155,62,0,2.83,63.37,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
372,235.6,720,780,155,93,0,4.1,58.72,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
480,220,699,819,96,0,0,10.1,45.05,-1,-1,31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
490,186,683,838,98,49,0,11.6,63.75,-1,-1,33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
300,180,595,958,300,0,0,1.5,56.44,-1,-1,-1,2000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
240,180,595,933,360,0,0,1.02,49.3,-1,-1,-1,1850,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
180,180,595,908,420,0,0,0.72,38.76,-1,-1,-1,1830,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
570,180,595,1072,0,30,0,7.98,81.18,-1,-1,-1,600,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
540,180,595,1059,0,60,0,8.58,85.43,-1,-1,-1,380,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
300,180,595,958,270,30,0,2.22,63.92,-1,-1,-1,610,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
240,180,595,933,330,30,0,1.8,53.89,-1,-1,-1,690,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
180,180,595,908,390,30,0,1.2,44.79,-1,-1,-1,990,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
300,180,595,958,240,60,0,3.6,72.42,-1,-1,-1,500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
240,180,595,933,300,60,0,2.88,62.56,-1,-1,-1,510,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
180,180,595,908,360,60,0,2.28,52.02,-1,-1,-1,515,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
257,180,621,1023,257,0,0,1.3364,50.32,-1,-1,-1,3100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
206,180,621,1001,309,0,0,0.9766,44.71,-1,-1,-1,2500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
154,180,621,980,360,0,0,0.6682,33.83,-1,-1,-1,2470,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
489,180,621,1120,0,26,0,8.224,72.51,-1,-1,-1,1100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
463,180,621,1110,0,51,0,8.995,77.86,-1,-1,-1,570,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
257,180,621,1023,231,26,0,2.056,58.14,-1,-1,-1,1100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
206,180,621,1001,283,26,0,1.6448,48.79,-1,-1,-1,1450,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
154,180,621,980,334,26,0,1.1308,39.01,-1,-1,-1,2000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
257,180,621,1023,206,51,0,3.1868,64.09,-1,-1,-1,960,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
206,180,621,1001,257,51,0,2.57,54.99,-1,-1,-1,750,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
154,180,621,980,309,51,0,2.056,43.43,-1,-1,-1,1380,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
225,180,640,1072,225,0,0,1.17,35.62,-1,-1,-1,3560,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
180,180,640,1053,270,0,0,0.945,30.35,-1,-1,-1,3200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
135,180,640,1034,315,0,0,0.585,26.95,-1,-1,-1,2830,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
428,180,640,1157,0,23,0,8.55,64.01,-1,-1,-1,1660,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
405,180,640,1147,0,45,0,9.45,67.15,-1,-1,-1,750,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
225,180,640,1072,203,23,0,1.935,43.78,-1,-1,-1,910,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
180,180,640,1053,248,23,0,1.53,33.32,-1,-1,-1,1760,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
135,180,640,1034,293,23,0,1.26,23.97,-1,-1,-1,2080,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
225,180,640,1072,180,45,0,2.88,51.26,-1,-1,-1,1000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
180,180,640,1053,225,45,0,2.34,41.74,-1,-1,-1,1000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
135,180,640,1034,270,45,0,2.07,28.14,-1,-1,-1,1570,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
475,175,687,958,0,25,0,8,67.15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
450,175,685,954,0,50,0,9,69.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
425,175,681,948,0,75,0,10,74.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
375,175,673,938,125,0,0,7.5,51.85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
300,175,663,923,200,0,0,7.5,46.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
225,175,652,908,275,0,0,7.5,35.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
465,227.7,590,910,85,0,0,10.73,29.91,2.4,-1,-1,-1,662,-1,-1,-1,-1,-1,-1,-1,-1,-1
440,228.6,590,910,110,0,0,11.01,28.18,2.12,-1,-1,-1,649,-1,-1,-1,-1,-1,-1,-1,-1,-1
415,233.3,590,910,135,0,0,9.91,26.75,1.83,-1,-1,-1,594,-1,-1,-1,-1,-1,-1,-1,-1,-1
385,234.4,590,910,165,0,0,9.91,26.06,1.76,-1,-1,-1,634,-1,-1,-1,-1,-1,-1,-1,-1,-1
355,241.6,590,910,195,0,0,9.91,25.18,1.55,-1,-1,-1,610,-1,-1,-1,-1,-1,-1,-1,-1,-1
440,176,917,714,110,0,0,7.43,59.33,-1,-1,-1,-1,-1,-1,205,360,-1,-1,-1,-1,-1,-1
330,176,899,700,220,0,0,7.43,51.76,-1,-1,-1,-1,-1,-1,199,320,-1,-1,-1,-1,-1,-1
220,176,881,686,330,0,0,6.67,40.37,-1,-1,-1,-1,-1,-1,189,320,-1,-1,-1,-1,-1,-1
440,176,931,725,0,0,110,10.43,63.83,-1,-1,-1,-1,-1,-1,250,410,-1,-1,-1,-1,-1,-1
330,176,928,722,0,0,220,10,68.08,-1,-1,-1,-1,-1,-1,250,385,-1,-1,-1,-1,-1,-1
220,176,924,720,0,0,330,8.89,66.38,-1,-1,-1,-1,-1,-1,270,385,-1,-1,-1,-1,-1,-1
522.5,176,930,724,0,27.5,0,9.56,68.34,-1,-1,-1,-1,-1,-1,248,401,-1,-1,-1,-1,-1,-1
