 Cement(kg/m3), Water(kg/m3),Coarse aggregate(kg/m3),Fine aggregate(kg/m3), FA (kg/m3),SF (kg/m3),GGBFS (kg/m3),SP (kg/m3),Chloride permeability (Coulomb) 28d
409.5,155.61,874.0,874.0,0.0,10.5,0.0,2.016,3200.0
399.0,151.62,872.0,872.0,0.0,21.0,0.0,2.016,2100.0
388.5,147.63,870.0,870.0,0.0,31.5,0.0,2.016,1500.0
378.0,143.64,869.0,869.0,0.0,42.0,0.0,2.016,1100.0
357.0,135.66,873.0,873.0,0.0,0.0,63.0,2.016,6100.0
294.0,111.72,870.0,870.0,0.0,0.0,126.0,2.016,5950.0
210.0,79.8,866.0,866.0,0.0,0.0,210.0,2.016,5100.0
346.5,131.67,872.0,872.0,0.0,10.5,63.0,2.016,4550.0
336.0,127.68,870.0,870.0,0.0,21.0,63.0,2.016,5000.0
325.5,123.69,868.0,868.0,0.0,31.5,63.0,2.016,2285.0
283.5,107.73,869.0,869.0,0.0,10.5,126.0,2.016,3950.0
273.0,103.74,867.0,867.0,0.0,21.0,126.0,2.016,3500.0
262.5,99.75,865.0,865.0,0.0,31.5,126.0,2.016,2100.0
199.5,75.81,865.0,865.0,0.0,10.5,210.0,2.016,3290.0
189.0,71.82,863.0,863.0,0.0,21.0,210.0,2.016,2080.0
178.5,67.83,861.0,861.0,0.0,31.5,210.0,2.016,1990.0
160.0,130.0,1115.0,770.0,127.0,0.0,0.0,2.296,5350.0
144.0,129.0,1115.0,770.0,127.0,0.0,16.0,2.296,5070.0
127.0,127.0,1115.0,770.0,127.0,0.0,32.0,2.288,4850.0
111.0,128.0,1115.0,770.0,127.0,0.0,47.0,2.28,4030.0
94.0,128.0,1115.0,770.0,127.0,0.0,63.0,2.272,3930.0
78.0,128.0,1115.0,770.0,127.0,0.0,78.0,2.264,3430.0
158.0,105.0,1115.0,770.0,127.0,0.0,68.0,2.824,2200.0
140.0,114.0,1115.0,770.0,127.0,0.0,60.0,2.616,3500.0
124.0,122.0,1115.0,770.0,127.0,0.0,53.0,2.432,3980.0
111.0,128.0,1115.0,770.0,127.0,0.0,47.0,2.28,4060.0
99.0,133.0,1115.0,770.0,127.0,0.0,42.0,2.144,4260.0
273.125,190.0,754.0,939.0,47.5,11.875,142.5,1.1875,401.0
249.375,190.0,750.2,934.1,71.25,11.875,142.5,1.1875,288.0
225.625,190.0,752.5,937.1,47.5,11.875,190.0,1.1875,255.0
154.375,190.0,746.8,930.0,71.25,11.875,237.5,1.425,196.0
142.5,190.0,746.1,929.1,71.25,23.75,237.5,1.6625,162.0
130.625,190.0,742.9,925.1,95.0,11.875,237.5,1.425,400.0
118.75,180.5,742.2,924.2,71.25,23.75,237.5,1.579375,260.0
106.875,190.0,741.7,923.7,95.0,35.625,237.5,1.6625,465.0
273.125,190.0,697.1,921.6,47.5,11.875,142.5,1.1875,428.0
249.375,190.0,685.2,905.9,71.25,11.875,142.5,1.1875,415.0
225.625,190.0,695.7,919.7,47.5,11.875,190.0,1.1875,419.0
154.375,190.0,690.4,912.7,71.25,11.875,237.5,1.425,341.0
142.5,190.0,689.8,911.9,71.25,23.75,237.5,1.6625,300.0
130.625,190.0,686.8,908.0,95.0,11.875,237.5,1.425,480.0
118.75,180.5,686.4,907.4,71.25,23.75,237.5,1.579375,300.0
106.875,190.0,685.8,906.6,95.0,35.625,237.5,1.6625,512.0
384.85,151.35,1144.6,706.5,0.0,47.57,0.0,5.19,440.0
