 Cement(kg/m3), Water(kg/m3),Coarse aggregate(kg/m3),Fine aggregate(kg/m3), FA (kg/m3),SF (kg/m3),GGBFS (kg/m3),SP (kg/m3),Splitting tensile strength (MPa)
442.0,288.96,678.0,984.0,78.0,0.0,0.0,4.16,3.75
431.6,288.96,678.0,984.0,78.0,10.4,0.0,4.16,3.5
421.2,288.96,678.0,984.0,78.0,20.8,0.0,4.16,4.15
410.8,288.96,678.0,984.0,78.0,31.2,0.0,4.16,3.35
390.0,288.96,678.0,984.0,78.0,0.0,52.0,4.16,3.18
338.0,288.96,678.0,984.0,78.0,0.0,104.0,4.16,3.8
286.0,288.96,678.0,984.0,78.0,0.0,156.0,4.16,4.0
312.0,195.0,1200.0,710.0,0.0,0.0,71.0,0.0,3.05
234.0,195.0,1200.0,710.0,0.0,0.0,142.0,0.0,2.9
156.0,195.0,1200.0,710.0,0.0,0.0,212.0,0.0,2.8
312.0,203.0,1174.0,710.0,0.0,0.0,71.0,0.0,2.86
234.0,203.0,1174.0,710.0,0.0,0.0,142.0,0.0,2.72
156.0,203.0,1174.0,710.0,0.0,0.0,212.0,0.0,2.57
312.0,207.0,1148.0,710.0,0.0,0.0,71.0,0.0,2.81
234.0,207.0,1148.0,710.0,0.0,0.0,142.0,0.0,2.72
156.0,207.0,1148.0,710.0,0.0,0.0,212.0,0.0,2.55
312.0,215.0,1096.0,710.0,0.0,0.0,71.0,0.0,2.66
234.0,215.0,1096.0,710.0,0.0,0.0,142.0,0.0,2.56
156.0,215.0,1096.0,710.0,0.0,0.0,212.0,0.0,2.36
360.0,203.0,1040.0,482.0,0.0,0.0,90.0,4.95,2.95
270.0,203.0,1040.0,482.0,0.0,0.0,180.0,4.95,2.76
180.0,203.0,1040.0,482.0,0.0,0.0,270.0,4.95,2.74
300.0,160.0,1137.0,741.0,0.0,0.0,100.0,0.0,4.16
300.0,160.0,1246.0,741.0,0.0,0.0,100.0,0.0,4.2
300.0,160.0,1356.0,741.0,0.0,0.0,100.0,0.0,4.3
181.44,197.0,1014.85,797.38,0.0,7.8,0.0,0.0,3.43
178.56,197.0,1011.93,795.09,0.0,9.75,0.0,0.0,3.52
174.24,197.0,1010.55,794.0,0.0,11.7,0.0,0.0,3.48
148.32,197.0,1015.77,798.1,0.0,0.0,45.6,0.0,3.42
138.24,197.0,1014.85,797.38,0.0,0.0,54.72,0.0,3.49
128.16,197.0,1013.93,796.66,0.0,0.0,63.84,0.0,3.44
