 Cement(kg/m3), Water(kg/m3),Coarse aggregate(kg/m3),Fine aggregate(kg/m3), FA (kg/m3),SF (kg/m3),GGBFS (kg/m3),SP (kg/m3),Splitting tensile strength (MPa)
411.0,204.0,785.0,908.0,77.0,26.0,0.0,10.28,3.8
398.0,204.0,785.0,908.0,77.0,39.0,0.0,10.28,4.0
386.0,204.0,785.0,908.0,77.0,51.0,0.0,10.28,4.02
386.0,204.0,785.0,908.0,103.0,26.0,0.0,10.3,4.12
373.0,204.0,785.0,908.0,103.0,39.0,0.0,10.3,4.25
360.0,204.0,785.0,908.0,103.0,51.0,0.0,10.28,4.58
360.0,204.0,785.0,908.0,129.0,26.0,0.0,10.3,4.73
347.0,204.0,785.0,908.0,129.0,39.0,0.0,10.3,3.82
334.0,204.0,785.0,908.0,129.0,51.0,0.0,10.28,3.73
334.0,204.0,785.0,908.0,154.0,26.0,0.0,10.28,3.25
321.0,204.0,785.0,908.0,154.0,39.0,0.0,10.28,2.95
308.0,204.0,785.0,908.0,154.0,51.0,0.0,10.26,2.49
250.0,125.0,1083.4,722.3,250.0,0.0,0.0,11.0,5.38
250.0,125.0,1093.0,728.7,125.0,0.0,125.0,11.0,5.18
250.0,125.0,1088.2,725.4,100.0,50.0,100.0,11.0,5.47
125.0,125.0,1060.8,707.2,375.0,0.0,0.0,11.0,4.43
125.0,125.0,1075.2,716.8,187.5,0.0,187.5,11.0,4.83
125.0,125.0,1068.0,712.0,150.0,75.0,150.0,11.0,5.1
368.0,161.0,1085.2,693.81,92.0,0.0,0.0,1.104,4.7
322.0,161.0,1085.2,693.81,138.0,0.0,0.0,1.104,4.5
276.0,161.0,1085.2,693.81,184.0,0.0,0.0,1.104,4.48
368.0,161.0,1085.2,693.81,0.0,0.0,92.0,1.104,4.98
322.0,161.0,1085.2,693.81,0.0,0.0,138.0,1.104,4.58
276.0,161.0,1085.2,693.81,0.0,0.0,184.0,1.104,4.5
300.0,191.0,875.0,761.0,169.0,0.0,0.0,4.0,3.5
300.0,191.0,862.0,761.0,169.0,0.0,0.0,4.2,2.91
300.0,191.0,850.0,761.0,169.0,0.0,0.0,4.2,2.33
300.0,191.0,838.0,761.0,169.0,0.0,0.0,4.3,1.95
300.0,194.0,825.0,761.0,158.0,0.0,0.0,4.3,1.45
420.0,156.0,1134.0,610.0,0.0,0.0,180.0,9.6,5.91
360.0,156.0,1134.0,610.0,0.0,60.0,180.0,9.6,6.14
262.5,175.0,1025.0,832.0,0.0,0.0,87.5,3.5,2.71
175.0,175.0,1021.0,830.0,0.0,0.0,175.0,3.5,2.28
437.0,176.0,924.0,743.0,80.0,0.0,0.0,4.65,5.5
333.0,173.0,924.0,743.0,162.0,0.0,0.0,3.71,4.2
225.0,170.0,924.0,743.0,247.0,0.0,0.0,3.21,3.3
115.0,167.0,924.0,743.0,336.0,0.0,0.0,2.93,1.8
440.0,209.0,705.0,748.0,110.0,0.0,0.0,9.35,2.9
440.0,209.0,708.7,748.0,110.0,0.0,0.0,9.35,3.0
440.0,209.0,680.9,750.0,110.0,0.0,0.0,7.7,3.2
440.0,209.0,705.0,748.0,110.0,0.0,0.0,9.35,3.22
440.0,209.0,635.5,748.0,110.0,0.0,0.0,9.35,2.86
280.0,160.0,1104.0,736.0,0.0,0.0,120.0,2.0,2.0
240.0,160.0,1104.0,736.0,0.0,0.0,160.0,2.0,2.8
200.0,160.0,1104.0,736.0,0.0,0.0,200.0,2.0,1.6
304.56,160.0,1270.0,605.0,84.6,33.84,126.9,3.6,4.24
304.56,160.0,1270.0,605.0,84.6,33.84,169.2,3.6,4.27
304.56,160.0,1270.0,605.0,84.6,33.84,211.5,3.6,3.64
262.26,160.0,1270.0,605.0,126.9,33.84,126.9,3.6,3.66
262.26,160.0,1270.0,605.0,126.9,33.84,169.2,3.6,3.95
262.26,160.0,1270.0,605.0,126.9,33.84,211.5,3.6,3.66
219.96,160.0,1270.0,605.0,169.2,33.84,126.9,3.6,3.0
219.96,160.0,1270.0,605.0,169.2,33.84,169.2,3.6,3.19
219.96,160.0,1270.0,605.0,169.2,33.84,211.5,3.6,2.81
450.0,184.5,1201.5,306.0,0.0,0.0,306.0,3.78,3.0
360.0,184.5,1201.5,612.0,90.0,0.0,0.0,2.25,2.5
315.0,184.5,1201.5,612.0,135.0,0.0,0.0,2.25,2.38
270.0,184.5,1201.5,612.0,180.0,0.0,0.0,2.25,2.3
360.0,184.5,1201.5,306.0,90.0,0.0,306.0,7.56,2.52
315.0,184.5,1201.5,306.0,135.0,0.0,306.0,7.56,2.61
270.0,184.5,1201.5,306.0,180.0,0.0,306.0,7.56,2.65
160.0,130.0,1115.0,770.0,127.0,0.0,0.0,2.296,3.0
144.0,129.0,1115.0,770.0,127.0,0.0,16.0,2.296,3.2
127.0,127.0,1115.0,770.0,127.0,0.0,32.0,2.288,3.5
111.0,128.0,1115.0,770.0,127.0,0.0,47.0,2.28,3.52
94.0,128.0,1115.0,770.0,127.0,0.0,63.0,2.272,3.7
78.0,128.0,1115.0,770.0,127.0,0.0,78.0,2.264,3.91
158.0,105.0,1115.0,770.0,127.0,0.0,68.0,2.824,3.82
140.0,114.0,1115.0,770.0,127.0,0.0,60.0,2.616,3.74
124.0,122.0,1115.0,770.0,127.0,0.0,53.0,2.432,3.68
